gene,median
PHTF1,3129.0
PTPN22,5651.0
AP4B1,3580.0
BCAS2,1556.0
AMPD1,6070.5
TSPAN2,5816.5
CD58,2796.5
IGSF3,3483.0
GDAP2,2550.0
SPAG17,5884.0
REG4,5609.5
ADAM30,6148.5
NOTCH2,2800.0
POLR3GL,3112.5
POLR3C,2430.5
CD160,5713.0
FMO5,2310.0
SV2A,3717.0
MCL1,773.0
CTSS,3929.0
CTSK,4180.0
ARNT,2892.0
CERS2,582.0
LYSMD1,3584.0
RFX5,1989.0
POGZ,2969.0
CELF3,5679.0
RORC,3052.0
THEM5,5886.0
S100A10,423.0
S100A11,204.0
FLG2,6110.0
CRNN,6024.0
PGLYRP3,6070.5
S100A8,6074.0
S100A6,2579.0
S100A5,5349.0
S100A4,2263.5
S100A3,4885.0
S100A2,4986.0
S100A14,4444.0
S100A13,1307.5
ILF2,303.0
DENND4B,2390.5
RAB13,1854.0
ADAR,602.0
KCNN3,5364.0
PYGO2,1550.0
SHC1,937.0
DCST2,5084.0
MUC1,4627.5
KRTCAP2,632.0
THBS3,3838.0
GON4L,2991.0
ARHGEF2,1822.0
SSR2,342.0
PAQR6,4155.0
SMG5,1829.0
GLMP,1176.0
IQGAP3,3131.5
GPATCH4,1746.0
ISG20L2,1976.0
MRPL24,2009.5
ARHGEF11,2643.0
ETV3,2828.0
FCRL2,6091.5
FCRL1,5894.0
AIM2,5367.0
CFAP45,4938.0
SLAMF9,5351.0
IGSF8,3154.0
PEX19,2133.0
SLAMF1,5928.5
CD244,5374.5
USF1,1401.0
ARHGAP30,4856.0
B4GALT3,2233.0
ADAMTS4,4610.0
NR1I3,4687.0
OLFML2B,5322.0
LMX1A,6116.0
RXRG,6205.0
TMCO1,598.0
TADA1,2753.0
CD247,5701.0
SLC19A2,2697.0
SELP,5816.5
SELE,5926.0
SCYL3,3665.0
MYOC,5830.5
VAMP4,3107.0
PIGC,3099.0
TNFSF4,3340.0
ANKRD45,5371.0
CENPL,4017.0
RC3H1,2925.0
TNR,5853.5
ASTN1,6205.0
ABL2,2715.5
STX6,2198.0
GLUL,1180.0
RNASEL,4660.0
TRMT1L,2111.0
IVNS1ABP,1583.0
PDC,5857.0
PTGS2,4788.0
BRINP3,5702.5
KCNT2,4439.5
F13B,5175.0
DENND1B,4120.0
ZNF281,1934.0
DDX59,3251.5
KIF21B,3653.0
CACNA1S,5769.5
TMEM9,2160.5
TNNT2,5028.0
LAD1,1327.0
TNNI1,5538.0
LMOD1,5363.0
ARL8A,3318.5
PTPN7,5312.0
SYT2,5492.0
KDM5B,2875.0
RABIF,2724.0
KLHL12,2309.5
CYB5R1,2073.0
MYBPH,5351.0
CHI3L1,5513.0
FMOD,4547.0
ETNK2,3080.5
PPP1R15B,1357.0
PIK3C2B,2215.0
DSTYK,3560.0
ELK4,2021.0
NUCKS1,655.0
SLC41A1,3562.0
PM20D1,5900.0
SLC26A9,5675.5
EIF2D,1625.0
PIGR,4564.0
FCAMR,5675.0
C1orf116,5153.5
YOD1,2390.0
CD34,5087.0
PLXNA2,4099.0
LAMB3,4162.0
KCNH1,6125.0
RD3,5900.0
NEK2,2533.0
BATF3,4241.0
SPATA45,5816.5
ANGEL2,2557.0
PTPN14,3532.5
USH2A,5326.0
SLC30A10,3117.0
BPNT1,2096.5
DUSP10,2888.0
TAF1A,3697.5
TP53BP2,1200.0
TMEM63A,1859.5
PYCR2,2874.0
ACBD3,1284.0
PARP1,2071.0
ITPKB,3905.0
C1orf35,3167.5
MRPL55,3055.0
ACTA1,5153.0
ABCB10,2250.0
TAF5L,2692.0
AGT,351.5
C1orf198,1854.0
TTC13,1835.0
FAM89A,3056.0
EGLN1,1297.0
SIPA1L2,2641.0
TARBP1,2323.0
TOMM20,450.0
LYST,3799.5
HEATR1,1307.0
GREM2,5830.5
FH,741.0
HNRNPU,937.5
SMYD3,2779.0
TFB2M,1823.5
ZMYND11,3173.0
PFKP,2613.0
AKR1C3,729.0
NET1,1117.0
ITIH2,309.0
GATA3,4682.5
CELF2,4179.5
ECHDC3,3457.0
DHTKD1,2093.0
OPTN,2310.5
PRPF18,3187.5
HSPA14,1530.0
SUV39H2,2947.0
MEIG1,5342.0
RPP38,2642.0
PTER,1344.0
VIM,781.5
STAM,2127.0
CACNB2,4409.0
SPAG6,5816.5
ARMC3,5900.0
KIAA1217,2148.0
GAD2,6143.5
APBB1IP,4573.0
PDSS1,1714.0
WAC,1234.5
BAMBI,887.0
LYZL1,6313.0
CCDC7,4746.0
CCNY,1519.0
ANKRD30A,6072.0
ZNF37A,2812.0
RET,5139.0
CSGALNACT2,3208.0
ZNF485,4830.5
TMEM72,5772.0
RASSF4,2812.0
GPRIN2,5196.0
WDFY4,5776.0
CHAT,6148.5
C10orf53,6046.0
PRKG1,5500.0
DKK1,3154.0
